issue_frame,term_a,term_b,weight,degree_a,degree_b
environment,carbon,emission,36,284.0,317.0
environment,emission,green,30,317.0,268.0
environment,emission,reduction,30,317.0,299.0
environment,carbon,green,29,284.0,268.0
environment,carbon,reduction,29,284.0,299.0
environment,emission,environmental,28,317.0,258.0
environment,emission,water,27,317.0,268.0
environment,reduction,water,27,299.0,268.0
environment,environmental,water,26,258.0,268.0
environment,environmental,green,25,258.0,268.0
environment,green,reduction,25,268.0,299.0
environment,carbon,chain,24,284.0,196.0
environment,environmental,reduction,24,258.0,299.0
environment,carbon,environmental,23,284.0,258.0
environment,environmental,waste,23,258.0,209.0
environment,green,consumption,23,268.0,223.0
environment,water,facility,23,268.0,227.0
environment,emission,facility,22,317.0,227.0
environment,emission,consumption,22,317.0,223.0
environment,reduction,waste,22,299.0,209.0
governance_risk,governance,board,13,70.0,74.0
governance_risk,committee,policy,13,94.0,70.0
governance_risk,board,committee,12,74.0,94.0
governance_risk,governance,committee,11,70.0,94.0
governance_risk,risk,committee,11,62.0,94.0
governance_risk,board,director,11,74.0,57.0
governance_risk,committee,director,11,94.0,57.0
governance_risk,governance,director,9,70.0,57.0
governance_risk,governance,policy,9,70.0,70.0
governance_risk,committee,compliance,9,94.0,46.0
governance_risk,governance,risk,8,70.0,62.0
governance_risk,risk,board,8,62.0,74.0
governance_risk,risk,policy,8,62.0,70.0
governance_risk,board,policy,8,74.0,70.0
governance_risk,committee,reporting,8,94.0,48.0
governance_risk,compliance,policy,8,46.0,70.0
governance_risk,compliance,reporting,7,46.0,48.0
governance_risk,director,policy,7,57.0,70.0
governance_risk,risk,director,6,62.0,57.0
governance_risk,board,reporting,6,74.0,48.0
innovation,application,collaboration,5,40.0,30.0
innovation,application,leadership,5,40.0,30.0
innovation,application,solution,5,40.0,16.0
innovation,collaboration,leadership,5,30.0,30.0
innovation,application,university,4,40.0,25.0
innovation,application,lead,4,40.0,16.0
innovation,academia,university,4,21.0,25.0
innovation,leadership,lead,4,30.0,16.0
innovation,university,research,4,25.0,21.0
innovation,application,patent,3,40.0,19.0
innovation,application,academia,3,40.0,21.0
innovation,application,research,3,40.0,21.0
innovation,application,finfet,3,40.0,16.0
innovation,collaboration,academia,3,30.0,21.0
innovation,collaboration,university,3,30.0,25.0
innovation,collaboration,research,3,30.0,21.0
innovation,collaboration,lead,3,30.0,16.0
innovation,patent,leadership,3,19.0,30.0
innovation,academia,research,3,21.0,21.0
innovation,leadership,finfet,3,30.0,16.0
labor_talent,health,risk,25,127.0,129.0
labor_talent,health,occupational,20,127.0,96.0
labor_talent,learn,talent,18,120.0,134.0
labor_talent,learn,training,17,120.0,144.0
labor_talent,occupational,risk,17,96.0,129.0
labor_talent,talent,training,17,134.0,144.0
labor_talent,risk,training,16,129.0,144.0
labor_talent,education,training,15,130.0,144.0
labor_talent,learn,education,13,120.0,130.0
labor_talent,health,human,12,127.0,81.0
labor_talent,health,training,12,127.0,144.0
labor_talent,talent,education,12,134.0,130.0
labor_talent,education,student,11,130.0,75.0
labor_talent,education,university,11,130.0,75.0
labor_talent,health,education,10,127.0,130.0
labor_talent,learn,student,10,120.0,75.0
labor_talent,human,risk,10,81.0,129.0
labor_talent,risk,education,10,129.0,130.0
labor_talent,learn,university,9,120.0,75.0
labor_talent,human,talent,9,81.0,134.0
other,art,cultural,4,23.0,23.0
other,art,education,4,23.0,23.0
other,art,participant,4,23.0,23.0
other,cultural,education,4,23.0,23.0
other,cultural,participant,4,23.0,23.0
other,education,participant,4,23.0,23.0
other,air,emission,3,9.0,9.0
other,art,chinese,3,23.0,20.0
other,art,literature,3,23.0,20.0
other,art,youth,3,23.0,20.0
other,cultural,chinese,3,23.0,20.0
other,cultural,literature,3,23.0,20.0
other,cultural,youth,3,23.0,20.0
other,education,chinese,3,23.0,20.0
other,education,literature,3,23.0,20.0
other,education,youth,3,23.0,20.0
other,participant,chinese,3,23.0,20.0
other,participant,literature,3,23.0,20.0
other,participant,youth,3,23.0,20.0
other,chinese,literature,3,20.0,20.0
supply_chain,chain,material,10,47.0,54.0
supply_chain,material,raw,10,54.0,45.0
supply_chain,chain,raw,8,47.0,45.0
supply_chain,chain,risk,7,47.0,36.0
supply_chain,material,risk,7,54.0,36.0
supply_chain,audit,chain,6,35.0,47.0
supply_chain,audit,material,6,35.0,54.0
supply_chain,audit,risk,6,35.0,36.0
supply_chain,chain,critical,5,47.0,22.0
supply_chain,material,participate,5,54.0,26.0
supply_chain,participate,raw,5,26.0,45.0
supply_chain,raw,risk,5,45.0,36.0
supply_chain,audit,critical,4,35.0,22.0
supply_chain,audit,raw,4,35.0,45.0
supply_chain,chain,participate,4,47.0,26.0
supply_chain,chain,environmental,4,47.0,17.0
supply_chain,critical,material,4,22.0,54.0
supply_chain,critical,risk,4,22.0,36.0
supply_chain,material,environmental,4,54.0,17.0
supply_chain,audit,environmental,3,35.0,17.0
