section_label,issue_frame,count,share
environment,environment,56,0.7887
environment,governance_risk,2,0.0282
environment,innovation,13,0.1831
governance,environment,1,0.0556
governance,governance_risk,15,0.8333
governance,innovation,2,0.1111
social,environment,6,0.15
social,governance_risk,2,0.05
social,innovation,14,0.35
social,labor_talent,8,0.2
social,other,10,0.25
supply_chain,environment,2,0.1053
supply_chain,governance_risk,1,0.0526
supply_chain,innovation,1,0.0526
supply_chain,supply_chain,15,0.7895
talent,environment,2,0.0278
talent,governance_risk,1,0.0139
talent,innovation,8,0.1111
talent,labor_talent,60,0.8333
talent,other,1,0.0139
