section_label,issue_frame,count,share
environment,environment,78,0.8667
environment,governance_risk,2,0.0222
environment,innovation,6,0.0667
environment,labor_talent,3,0.0333
environment,other,1,0.0111
governance,governance_risk,20,0.6897
governance,innovation,7,0.2414
governance,labor_talent,2,0.069
other,innovation,1,0.1667
other,other,5,0.8333
social,environment,5,0.2
social,governance_risk,3,0.12
social,innovation,2,0.08
social,labor_talent,8,0.32
social,other,6,0.24
social,supply_chain,1,0.04
supply_chain,environment,1,0.0476
supply_chain,innovation,1,0.0476
supply_chain,labor_talent,2,0.0952
supply_chain,supply_chain,17,0.8095
talent,environment,3,0.0294
talent,governance_risk,1,0.0098
talent,innovation,13,0.1275
talent,labor_talent,76,0.7451
talent,other,7,0.0686
talent,supply_chain,2,0.0196
