sdg_labels,term,tfidf_score
SDG12_consumption,chemical,0.27214343549487113
SDG12_consumption,recycle,0.1397493317406095
SDG12_consumption,acid,0.13836254542535725
SDG12_consumption,reuse,0.10297319180887016
SDG12_consumption,carbon reduction,0.09316622116040633
SDG12_consumption,hazardous,0.0784557651877106
SDG12_consumption,indicator,0.07600402252559463
SDG12_consumption,equivalent,0.07600402252559463
SDG12_consumption,electronic grade,0.07596375042960792
SDG12_consumption,inch,0.07355227986347869
SDG12_consumption,safety health,0.07355227986347869
SDG12_consumption,layer,0.07053776825606448
SDG12_consumption,nitrogen,0.06921091282519133
SDG12_consumption,ergonomic,0.06800679667928589
SDG12_consumption,liquid,0.06620174270235693
SDG12_consumption,organic,0.06239879499574935
SDG12_consumption,concentration,0.06239879499574935
SDG12_consumption,reduction rate,0.06239879499574935
SDG12_consumption,pfass,0.06239879499574935
SDG12_consumption,recycling rate,0.059685803908977646
SDG12_consumption,plastic,0.05950594709437514
SDG12_consumption,contain,0.056390081228667
SDG12_consumption,replacement,0.056390081228667
SDG12_consumption,manufacturing center,0.056390081228667
SDG12_consumption,tcia,0.05525552230191978
SDG12_consumption,house,0.05425982173543422
SDG12_consumption,hazardous substance,0.05425982173543422
SDG12_consumption,eco,0.05393833856655103
SDG12_consumption,electricity,0.05154683064866251
SDG12_consumption,industrial,0.05148659590443508
SDG13_climate,carbon reduction,0.22682604062617473
SDG13_climate,equivalent,0.13822211850657523
SDG13_climate,electricity,0.13334150046081888
SDG13_climate,co2,0.09569901678863842
SDG13_climate,committee,0.09214807900438349
SDG13_climate,inch,0.09214807900438349
SDG13_climate,layer,0.08235798557874106
SDG13_climate,esh,0.08151560835003155
SDG13_climate,climate change,0.07797145146524756
SDG13_climate,mask,0.07442729458046358
SDG13_climate,conserve,0.07394924024576605
SDG13_climate,risk opportunity,0.0726632120515672
SDG13_climate,chemical,0.07088313769567961
SDG13_climate,reasonable level,0.07066676688446552
SDG13_climate,equivalent wafer,0.06733898081089562
SDG13_climate,solar,0.06733898081089562
SDG13_climate,recycling rate,0.06667075023040944
SDG13_climate,wafer mask,0.06667075023040944
SDG13_climate,mask layer,0.06667075023040944
SDG13_climate,dnv reasonable,0.06360009019601896
SDG13_climate,climate risk,0.0629747837780249
SDG13_climate,acid,0.06274894139332653
SDG13_climate,inch equivalent,0.06274894139332653
SDG13_climate,reasonable,0.06144271388758314
SDG13_climate,reuse,0.06025066704132766
SDG13_climate,indicator,0.06025066704132766
SDG13_climate,dnv,0.059716780788928385
SDG13_climate,net emission,0.058827132556243625
SDG13_climate,co2e,0.058130569641253765
SDG13_climate,cdp,0.05670651015654368
SDG17_partnership,committee,0.19293299536045186
SDG17_partnership,carbon reduction,0.1286219969069679
SDG17_partnership,chemical,0.10956688625408377
SDG17_partnership,tax,0.10718499742247324
SDG17_partnership,safety health,0.1000393309276417
SDG17_partnership,esh,0.07860233144314706
